"","Language_ID","GB020","GB021","GB022","GB023","GB024","GB025","GB026","GB027","GB028","GB030","GB031","GB035","GB036","GB037","GB038","GB039","GB041","GB042","GB043","GB044","GB046","GB047","GB048","GB049","GB051","GB052","GB053","GB054","GB057","GB058","GB059","GB065","GB068","GB069","GB070","GB071","GB072","GB073","GB074","GB075","GB079","GB080","GB081","GB082","GB083","GB084","GB086","GB089","GB090","GB091","GB092","GB093","GB094","GB095","GB096","GB098","GB099","GB103","GB104","GB105","GB107","GB108","GB109","GB110","GB111","GB113","GB114","GB115","GB116","GB117","GB118","GB119","GB120","GB121","GB122","GB123","GB124","GB126","GB127","GB129","GB130","GB131","GB132","GB133","GB134","GB135","GB136","GB137","GB138","GB139","GB140","GB146","GB147","GB148","GB149","GB150","GB151","GB152","GB155","GB156","GB158","GB159","GB160","GB165","GB166","GB167","GB170","GB171","GB172","GB177","GB184","GB185","GB186","GB187","GB188","GB192","GB193","GB196","GB197","GB198","GB203","GB204","GB250","GB252","GB253","GB254","GB256","GB257","GB260","GB262","GB263","GB264","GB265","GB266","GB270","GB273","GB275","GB276","GB285","GB286","GB291","GB296","GB297","GB298","GB299","GB300","GB301","GB302","GB303","GB304","GB305","GB306","GB309","GB312","GB313","GB314","GB315","GB316","GB317","GB318","GB319","GB320","GB321","GB322","GB323","GB324","GB325","GB326","GB327","GB328","GB329","GB330","GB331","GB333","GB334","GB335","GB336","GB400","GB401","GB402","GB403","GB408","GB409","GB410","GB415","GB421","GB422","GB430","GB431","GB432","GB433","GB519","GB520","GB521","GB522","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID.y","Closest_ISO369P3code","First_Year_Of_Documentation","Last_Year_Of_Documentation","LMP_POP1","AES","EGIDS","L1_POP","nochildren"
"11","acha1249",0,0,0,0,3,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,1,1,0,1,"Longchuan Achang","Eurasia",24.3479,97.7438,"acha1249","acn","CN;MM","sino1245","","acn",NA,NA,62700,"shifting","7",62700,1
"12","acha1250",0,0,0,0,1,1,0,1,0,1,0,0,0,0,NA,1,0,0,0,1,NA,NA,1,1,1,0,1,0,NA,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,1,1,NA,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,1,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,"Achagua","South America",4.38649,-72.2005,"acha1250","aca","CO","araw1281","","aca",NA,NA,250,"shifting","6b",250,1
"13","ache1245",0,0,0,0,2,2,0,NA,1,0,0,0,0,0,0,0,NA,1,0,1,0,NA,NA,NA,0,1,0,1,NA,0,NA,2,NA,NA,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,NA,NA,NA,1,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,1,0,1,0,NA,NA,1,0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,NA,1,1,0,1,NA,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,NA,1,0,0,1,0,NA,1,0,0,0,0,0,1,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,0,1,0,NA,NA,0,0,1,0,0,0,0,NA,"Acheron","Africa",10.8827,30.3187,"ache1245","acz","SD","narr1279","","acz",NA,NA,0,"threatened","5",0,0
"14","ache1246",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,NA,1,NA,1,NA,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,0,NA,NA,NA,1,1,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,1,1,"Aché","South America",-25.5865,-56.4697,"ache1246","guq","PY","tupi1275","","guq",NA,NA,1360,"moribund","5",1360,0
"15","achi1256",1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,1,0,1,2,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,NA,1,1,0,0,0,0,NA,0,1,0,0,NA,0,0,NA,0,1,0,1,0,1,1,1,0,1,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,NA,0,3,0,0,0,NA,NA,0,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,1,NA,0,0,0,0,1,1,NA,1,0,0,0,1,0,1,0,0,0,0,1,0,NA,0,1,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,1,1,NA,NA,0,1,0,1,0,0,0,1,"Achi","North America",15.073,-90.3513,"achi1256","acr","GT","maya1287","","acr",NA,NA,37300,"threatened","5",37300,0
"16","achi1257",0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,NA,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,"Acehnese","Papunesia",3.90757,96.6032,"achi1257","ace","ID","aust1307","","ace",NA,NA,3500000,"threatened","6b",3500000,1
"17","achu1247",0,1,1,0,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,0,NA,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,1,1,1,1,0,0,1,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,1,0,0,NA,NA,NA,0,0,NA,NA,NA,1,0,0,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,NA,0,0,NA,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,0,0,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,1,0,1,NA,NA,NA,0,0,1,0,NA,NA,NA,1,"Achumawi","North America",41.0979,-121.191,"achu1247","acv","US","pala1350","","acv",NA,NA,16,"nearly extinct","8b",16,1
"18","achu1248",0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,0,0,1,0,1,0,NA,NA,0,0,1,1,0,0,0,1,"Achuar-Shiwiar","South America",-2.82646,-77.2641,"achu1248","acu","EC;PE","jiva1245","","acu",NA,NA,5000,"shifting","5",5000,0
"19","acol1236",0,0,0,0,2,2,0,1,0,0,0,1,0,NA,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,NA,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,2,0,0,0,2,0,0,1,0,1,1,NA,NA,NA,NA,NA,1,0,1,NA,0,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,"Acoli","Africa",3.57738,32.5147,"acol1236","ach","SS;UG","nilo1247","","ach",NA,NA,1215000,"not endangered","5",1215000,0
"20","adan1251",1,0,0,1,2,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,NA,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,2,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,NA,NA,1,0,1,0,NA,NA,0,1,0,0,1,0,0,0,"Adang","Papunesia",-8.18958,124.448,"adan1251","adn","ID","timo1261","","adn",NA,NA,31800,"shifting","6b",31800,1
